date,start_city,end_city,airline,duration,price
12/03/2025,Salvador,Aracaju,Gol,10,72.37739130434782
22/05/2025,Salvador,Recife,Gol,80,82.68
15/03/2025,Salvador,Recife,Azul,75,80.50434782608696
19/05/2025,Salvador,Bras�lia,Gol,115,91.20173913043477
12/03/2025,Salvador,Aracaju,Azul,55,90.46434782608695
12/03/2025,Salvador,Aracaju,Gol,50,72.37739130434782
22/05/2025,Salvador,Recife,Azul,75,88.20347826086957
15/03/2025,Salvador,Recife,Gol,85,82.33217391304348
12/03/2025,Salvador,Aracaju,Azul,5,90.46434782608695
22/05/2025,Salvador,Recife,Gol,80,82.68
15/03/2025,Salvador,Recife,Azul,75,80.50434782608696
19/05/2025,Salvador,Bras�lia,Gol,115,91.20173913043477
12/03/2025,Salvador,Aracaju,Gol,50,72.37739130434782
22/05/2025,Salvador,Recife,Gol,80,82.68
15/03/2025,Salvador,Recife,Gol,85,82.33217391304348
12/03/2025,Salvador,Aracaju,Azul,55,90.46434782608695
22/05/2025,Salvador,Recife,Gol,80,82.68
15/03/2025,Salvador,Recife,Azul,75,80.50434782608696
06/07/2025,Fortaleza,Salvador,Gol,110,139.03826086956522
10/04,Fortaleza,Belo horizonte,Azul,160,119.65565217391304
06/07/2025,Fortaleza,Salvador,Gol,110,139.03826086956522
06/07/2025,Fortaleza,Salvador,Gol,110,139.03826086956522
13/08/2025,Fortaleza,Salvador,Gol,110,139.03826086956522
06/07/2025,Fortaleza,Recife,Gol,250,121.99478260869566
23/03/2025,Fortaleza,Recife,Latam,75,99.38608695652174
16/05/2025,Recife,Campina Grande,Azul,50,85.41217391304347
16/05/2025,Recife,Campina Grande,Azul,50,85.41217391304347
24/12/2024,Recife,Rio de Janeiro,Latam,175,83.49913043478261
16/05/2025,Recife,Campina Grande,Azul,50,85.41217391304347
24/12/2024,Recife,Rio de Janeiro,Latam,175,82.26608695652173
16/05/2025,Recife,Campina Grande,Gol,50,85.41217391304347
24/12/2024,Recife,Rio de Janeiro,Latam,175,83.49913043478261
04/06/2025,Recife,Salvador,Gol,85,84.75826086956522
08/02/2025,Recife,Salvador,Azul,80,83.67304347826087
21/01/2025,Porto Alegre,S�o Paulo,Azul,95,51.82608695652174
21/03/2025,Porto Alegre,S�o Paulo,Gol,90,51.33217391304348
13/03/2025,Porto Alegre,S�o Paulo,Azul,100,61.07130434782609
21/01/2025,Porto Alegre,S�o Paulo,Azul,95,51.82608695652174
21/03/2025,Porto Alegre,S�o Paulo,Azul,95,61.07130434782609
13/03/2025,Porto Alegre,S�o Paulo,Azul,100,61.07130434782609
21/01/2025,Porto Alegre,S�o Paulo,Latam,100,60.39652173913043
21/03/2025,Porto Alegre,S�o Paulo,Latam,95,48.7095652173913
21/02/2025,Porto Alegre,S�o Paulo,Latam,105,49.37739130434783
13/03/2025,Porto Alegre,S�o Paulo,Latam,105,49.37739130434783
21/01/2025,Porto Alegre,S�o Paulo,Azul,95,51.82608695652174
21/03/2025,Porto Alegre,S�o Paulo,Latam,95,49.37739130434783
21/02/2025,Porto Alegre,S�o Paulo,Azul,100,52.17391304347826
